eng,tamil,pronunciation,synonym
add,கூட்டு,Kūṭṭu,"add_together, attention_deficit_hyperactivity_disorder, add, bring, tot_up, ADD, hyperkinetic_syndrome, MBD, tote_up, add_up, append, minimal_brain_damage, sum_up, ADHD, sum, impart, attention_deficit_disorder, lend, summate, supply, total, tot, minimal_brain_dysfunction, contribute, bestow, tally"
addition,கூடுதலாக,Kūṭutalāka,"improver, gain, increase, addition, plus, add-on, summation, accession"
additional,கூடுதல்,Kūṭutal,"additional, extra"
address,முகவரி,Mukavari,"direct, address, come_up_to, deal, name_and_address, speech, turn_to, cover, speak, treat, plow, computer_address, accost, reference, savoir-faire, handle, call, destination"
adequate,போதுமானதாக,Pōtumāṉatāka,"enough, tolerable, passable, decent, equal, fair_to_middling, adequate"
adjust,சரிவு,Carivu,"adapt, conform, set, adjust, line_up, align, aline, correct"
adjustment,சரிசெய்தல்,Cariceytal,"fitting, registration, adjustment, readjustment, modification, adaptation, allowance, alteration, adaption, accommodation"
administration,நிர்வாகம்,Nirvākam,"governing_body, administration, presidency, giving_medication, governance, presidential_term, establishment, government_activity, government, disposal, brass, governing, organisation, organization, judicature"
administrator,நிர்வாகி,Nirvāki,"executive, administrator, decision_maker"
admire,ரசிக்கிறது,Racikkiṟatu,"admire, look_up_to"
admission,சேர்க்கை,Cērkkai,"admission_fee, entrance_fee, admittance, price_of_admission, entree, admission_charge, admission, admission_price, entrance_money, access, accession"
admit,ஒப்புக் கொள்ளுங்கள்,Oppuk koḷḷuṅkaḷ,"allow, admit, intromit, take, let_in, take_on, allow_in, accommodate, hold, acknowledge, accept, include"
adolescent,இளம்,Iḷam,"teenage, teenager, adolescent, teen, teenaged, juvenile, jejune, puerile, stripling"
adopt,தத்தெடுக்க,Tatteṭukka,"take_over, borrow, acquire, take, embrace, sweep_up, adopt, assume, dramatize, take_on, follow, espouse, take_in, dramatise, take_up"
adult,வயது வந்தோர்,Vayatu vantōr,"full-grown, fully_grown, pornographic, grownup, big, adult, grown"
advance,முன்,Muṉ,"promote, further, beforehand, improvement, bring_forward, advanced, progress, rise, make_headway, come_along, forward_motion, cash_advance, betterment, upgrade, get_along, advance, win, elevate, shape_up, overture, procession, get_ahead, get_on, move_on, gain, pull_ahead, approach, boost, advancement, onward_motion, gain_ground, in_advance, progression, set_ahead, pass_on, encourage, raise, throw_out, come_on, kick_upstairs, supercharge, go_on, feeler, march_on"
advanced,மேம்படுத்தபட்ட,Mēmpaṭuttapaṭṭa,"promote, further, bring_forward, advanced, sophisticated, progress, make_headway, come_along, modern, upgrade, get_along, win, elevate, march_on, shape_up, get_ahead, get_on, move_on, gain, forward-looking, pull_ahead, ripe, boost, gain_ground, in_advance, set_ahead, pass_on, encourage, raise, throw_out, innovative, come_on, kick_upstairs, supercharge, go_on, advance"
advantage,நன்மை,Naṉmai,"vantage, reward, advantage"
adventure,சாதனை,Cātaṉai,"stake, risky_venture, jeopardize, chance, take_a_chance, escapade, gamble, risk, hazard, venture, dangerous_undertaking, take_chances, run_a_risk, adventure"
advertising,விளம்பரப்படுத்து,Viḷamparappaṭuttu,"advertizing, ad, advert, publicise, promote, advertisement, advertize, publicize, publicizing, advertising, advertise, push, advertizement"
advice,ஆலோசனை,Ālōcaṉai,advice
advise,ஆலோசனை செய்,Ālōcaṉai cey,"rede, notify, counsel, give_notice, advise, send_word, apprise, apprize, suggest, propose"
adviser,ஆலோசகர்,Ālōcakar,"advisor, adviser, consultant"
advocate,வழக்கறிஞராக,Vaḻakkaṟiñarāka,"counsel, counselor, counselor-at-law, preach, urge, advocator, counsellor, advocate, pleader, recommend, exponent, proponent"
affair,விவகாரம்,Vivakāram,"social_occasion, affair, thing, social_function, liaison, occasion, intimacy, function, affaire, matter, involvement, amour"
affect,பாதிப்பு,Pātippu,"touch_on, bear_upon, involve, sham, pretend, strike, impress, regard, dissemble, touch, affect, feign, bear_on, move, impact"
afford,வாங்க,Vāṅka,"give, afford, open, yield"
afraid,பயம்,Payam,afraid
african,ஆப்பிரிக்க,Āppirikka,African
african-american,ஆப்பிரிக்க இனம் சேர்ந்த அமெரிக்கர்,Āppirikka iṉam cērnta amerikkar,"Afro-American, African-American, African_American, Black_American"
after,பின்,Piṉ,"subsequently, afterward, after, afterwards, later_on, later"
afternoon,பிற்பகல்,Piṟpakal,"good_afternoon, afternoon"
again,மீண்டும்,Mīṇṭum,"once_again, over_again, again, once_more"
against,எதிராக,Etirāka,set()
age,வயது,Vayatu,"get_on, old_age, long_time, geezerhood, eld, senesce, mature, historic_period, age, maturate, years"
agency,முகவர்,Mukavar,"means, office, bureau, authority, federal_agency, representation, agency, way, government_agency, delegacy"
agenda,நிகழ்ச்சி நிரல்,Nikaḻcci niral,"agenda, docket, agendum, schedule, order_of_business"
agent,முகவர்,Mukavar,"agent, factor, federal_agent, broker, agentive_role"
aggressive,முரட்டுத்தனமான,Muraṭṭuttaṉamāṉa,"fast-growing, belligerent, aggressive, strong-growing"
ago,முன்பு,Muṉpu,"ago, agone"
agree,ஒப்புக்கொள்,Oppukkoḷ,"harmonize, fit_in, match, concur, correspond, concord, harmonise, accord, tally, gibe, hold, jibe, fit, check, consort, agree"
agreement,உடன்படிக்கை,Uṭaṉpaṭikkai,"concord, accord, correspondence, arrangement, agreement, understanding"
agricultural,வேளாண்,Vēḷāṇ,"farming, agricultural, agrarian"
ah,ஆ,Ā,set()
ahead,முன்னால்,Muṉṉāl,"onwards, in_the_lead, in_advance, ahead, beforehand, forward, leading, before, forwards, forrader, in_front, out_front, onward"
aid,உதவி,Utavi,"assistance, assist, economic_aid, aid, financial_aid, attention, help, tending, care"
aide,ஐட்டு,Aiṭṭu,"aide, adjutant, aide-de-camp, auxiliary"
aids,எய்ட்ஸ்,Eyṭs,"assistance, AIDS, assist, acquired_immune_deficiency_syndrome, economic_aid, aid, financial_aid, attention, help, tending, care"
aim,நோக்கம்,Nōkkam,"take, bearing, draw_a_bead_on, aspire, take_aim, aim, place, purpose, design, shoot_for, objective, propose, intent, heading, object, direct, point, get, target, drive, calculate, purport, intention, train"
air,காற்று,Kāṟṟu,"air_out, beam, airwave, publicise, transmit, air_travel, ventilate, bare, aerate, strain, air, broadcast, line, melodic_phrase, vent, aura, aviation, tune, atmosphere, send, melody, breeze, gentle_wind, zephyr, publicize, melodic_line"
aircraft,விமானம்,Vimāṉam,aircraft
airline,விமானக் கப்பல்,Vimāṉak kappal,"airline, air_hose, airway, airline_business"
airport,விமான நிலையங்கள்,Vimāṉa nilaiyaṅkaḷ,"drome, aerodrome, airport, airdrome"
album,ஆல்பம்,Ālpam,"album, record_album"
alcohol,ஆல்கஹால்,Ālkahāl,"intoxicant, alcohol, inebriant, alcoholic_beverage, alcoholic_drink"
alive,உயிருடன்,Uyiruṭaṉ,"alive, awake, animated, active, live, alert"
all,அனைத்து,Aṉaittu,"all, completely, wholly, whole, entirely, totally, altogether"
alliance,கூட்டணி,Kūṭṭaṇi,"confederation, coalition, bond, alignment, alliance, alinement"
allow,அனுமதி,Aṉumati,"reserve, allow, admit, provide, allow_for, give_up, tolerate, set_aside, permit, grant, appropriate, leave, earmark, take_into_account, countenance, let"
ally,நட்பு,Naṭpu,"ally, friend"
almost,கிட்டத்தட்ட,Kiṭṭattaṭṭa,"well-nigh, virtually, nigh, near, about, nearly, almost, most"
alone,தனியாக,Taṉiyāka,"unparalleled, unaccompanied, entirely, unequalled, alone, only, lone, solitary, exclusively, unequaled, solely, unique, solo, lonely"
along,சேர்த்து,Cērttu,"on, along"
already,ஏற்கனவே,Ēṟkaṉavē,already
also,மேலும்,Mēlum,"also, as_well, besides, too, likewise"
alter,மாற்ற,Māṟṟa,"falsify, castrate, spay, modify, alter, interpolate, vary, neuter, change"
alternative,மாற்று,Māṟṟu,"option, alternative, choice, alternate, substitute"
although,என்றாலும்,Eṉṟālum,set()
always,எப்போதும்,Eppōtum,"ever, always, forever, ""eer"", perpetually, incessantly, invariably, constantly"
am,நான்,Nāṉ,"AM, represent, cost, Master_of_Arts, MA, atomic_number_95, Am, make_up, amplitude_modulation, americium, live, be, constitute, comprise, Artium_Magister, follow, equal, personify, exist, embody"
amazing,ஆச்சரியமாக,Āccariyamāka,"nonplus, amazing, stick, pose, gravel, astonish, amaze, awing, bewilder, awe-inspiring, awesome, baffle, dumbfound, mystify, beat, awful, astound, vex, perplex, puzzle, get, stupefy, astonishing, flummox"
american,அமெரிக்கன்,Amerikkaṉ,"American_language, American_English, American"
among,மத்தியில்,Mattiyil,set()
amount,அளவு,Aḷavu,"number, add_up, amount_of_money, total, sum, sum_of_money, come, quantity, amount, measure"
analysis,பகுப்பாய்வு,Pakuppāyvu,"depth_psychology, analysis, analytic_thinking, psychoanalysis"
analyst,ஆய்வாளர்,Āyvāḷar,"psychoanalyst, analyst"
analyze,Analyze,Analyze,"break_down, analyze, take_apart, analyse, dissect, psychoanalyze, psychoanalyse, canvass, canvas, study, examine"
ancient,பண்டைய,Paṇṭaiya,"antediluvian, ancient"
and,மற்றும்,Maṟṟum,set()
anger,கோபம்,Kōpam,"ira, choler, anger, angriness, wrath, see_red, ire"
angle,கோணம்,Kōṇam,"tilt, fish, angle, slant, tip, lean, weight, Angle"
angry,கோபம்,Kōpam,"angry, tempestuous, wild, furious, raging"
animal,விலங்கு,Vilaṅku,"creature, sensual, fleshly, brute, beast, carnal, animal, animate_being, fauna"
anniversary,ஆண்டு நிறைவு,Āṇṭu niṟaivu,"day_of_remembrance, anniversary"
announce,அறிவிக்க,Aṟivikka,"foretell, declare, harbinger, annunciate, announce, herald, denote"
annual,வருடாந்திர,Varuṭāntira,"yearbook, annual, yearly, one-year"
another,மற்றொரு,Maṟṟoru,"another, some_other"
answer,பதில்,Patil,"resolution, suffice, result, reply, solution, resolve, do, solvent, answer, response, serve, respond"
anticipate,எதிர்பார்க்கலாம்,Etirpārkkalām,"foretell, prognosticate, foresee, anticipate, forestall, previse, predict, look_for, call, counter, forebode, look_to, expect, promise, foreknow"
anxiety,கவலை,Kavalai,"anxiousness, anxiety"
any,எது,Etu,"whatever, whatsoever, any"
anybody,யாராவது,Yārāvatu,set()
anymore,இனி,Iṉi,"any_longer, anymore"
anyone,யாருக்கும்,Yārukkum,set()
anything,எதுவும்,Etuvum,set()
anyway,எப்படியும்,Eppaṭiyum,"in_any_case, anyway, anyways, in_any_event, anyhow, at_any_rate"
anywhere,எங்கிருந்தும்,Eṅkiruntum,"anyplace, anywhere"
apart,தவிர,Tavira,"obscure, apart, isolated, aside, asunder"
apartment,அடுக்குமாடி இல்லங்கள்,Aṭukkumāṭi illaṅkaḷ,"flat, apartment"
apparent,வெளிப்படையான,Veḷippaṭaiyāṉa,"seeming, patent, plain, unmistakable, ostensible, apparent, evident, manifest"
apparently,வெளிப்படையாக,Veḷippaṭaiyāka,"manifestly, seemingly, on_the_face_of_it, obviously, evidently, plain, apparently, ostensibly, patently, plainly"
appeal,மேல்முறையீடு,Mēlmuṟaiyīṭu,"invoke, ingathering, solicitation, charm, appealingness, attract, prayer, appeal, entreaty, collection"
appear,தோன்றும்,Tōṉṟum,"look, appear, come_out, seem, come_along"
appearance,தோற்றம்,Tōṟṟam,"appearing, show, visual_aspect, coming_into_court, appearance"
apple,ஆப்பிள்,Āppiḷ,"orchard_apple_tree, Malus_pumila, apple"
application,விண்ணப்பம்,Viṇṇappam,"applications_programme, application, practical_application, covering, diligence, application_program, coating, lotion"
apply,பொருந்தும்,Poruntum,"use, utilize, put_on, apply, utilise, give, practice, hold, enforce, implement, lend_oneself, go_for, employ"
appoint,நியமிக்கவும்,Niyamikkavum,"nominate, name, charge, constitute, appoint"
appointment,நியமனம்,Niyamaṉam,"fitting, assignment, naming, appointee, designation, engagement, date, appointment"
appreciate,பாராட்ட,Pārāṭṭa,"prize, appreciate, value, apprise, revalue, take_account, apprize, treasure"
approach,அணுகுமுறை,Aṇukumuṟai,"come_near, go_up, coming, access, glide_path, near, draw_close, border_on, draw_near, overture, plan_of_attack, attack, set_about, approach, approach_shot, glide_slope, approaching, approach_path, come_on, go_about, feeler, advance"
appropriate,பொருத்தமானது,Poruttamāṉatu,"conquer, allow, seize, set_aside, appropriate, capture, earmark, reserve"
approval,ஒப்புதல்,Opputal,"favorable_reception, approving, approval, favourable_reception, commendation, blessing"
approve,அங்கீகாரம்,Aṅkīkāram,"sanction, approve, okay, O.K."
approximately,தோராயமாக,Tōrāyamāka,"close_to, more_or_less, or_so, just_about, approximately, around, about, some, roughly"
arab,அரபு,Arapu,"Arabian, Arab"
architect,கட்டட வடிவமைப்பாளர்,Kaṭṭaṭa vaṭivamaippāḷar,"designer, architect"
area,பகுதி,Pakuti,"domain, field, country, area, arena, expanse, region, surface_area, orbit, sphere"
argue,வாதிட,Vātiṭa,"contend, argue, debate, reason, fence, indicate"
argument,வாதம்,Vātam,"tilt, controversy, statement, disceptation, arguing, debate, logical_argument, line_of_reasoning, line, argument, argumentation, parameter, contestation, disputation, literary_argument, contention"
arise,எழும்,Eḻum,"rebel, get_up, move_up, rise, go_up, grow, turn_out, arise, bob_up, uprise, stand_up, lift, develop, rise_up, spring_up, originate, come_up"
arm,கை,Kai,"fortify, gird, weapon, sleeve, arm, limb, branch, build_up, weapon_system, subdivision"
armed,ஆயுதம்,Āyutam,"fortify, gird, arm, build_up, armed"
army,இராணுவம்,Irāṇuvam,"USA, U._S._Army, US_Army, ground_forces, regular_army, army, Army, United_States_Army"
around,சுற்றி,Cuṟṟi,"close_to, more_or_less, or_so, just_about, approximately, around, round, about, some, roughly"
arrange,ஏற்பாடு,Ēṟpāṭu,"dress, coiffe, set_up, coif, order, set, do, coiffure, fix_up, put, stage, arrange, format"
arrangement,ஏற்பாடு,Ēṟpāṭu,"transcription, placement, system, musical_arrangement, arrangement, arranging, agreement, organisation, organization"
arrest,கைது செய்,Kaitu cey,"cop, turn_back, pinch, apprehension, pick_up, halt, apprehend, stay, nail, hold, nab, catch, hitch, stoppage, arrest, hold_back, get, collar, stop, taking_into_custody, check, contain"
arrival,வருகை,Varukai,"arrival, arriver, comer, reaching"
arrive,வருகை,Varukai,"get, get_in, arrive, make_it, come, go_far"
art,கலை,Kalai,"artistic_production, fine_art, nontextual_matter, art, graphics, prowess, artwork, artistic_creation, artistry"
article,கட்டுரை,Kaṭṭurai,"clause, article"
artist,கலைஞர்,Kalaiñar,"creative_person, artist"
artistic,கலை,Kalai,"esthetic, artistic, aesthetic"
as,உடன்,Uṭaṉ,"A, axerophthol, American_Samoa, AS, a, equally, as, arsenic, antiophthalmic_factor, deoxyadenosine_monophosphate, type_A, angstrom, As, ampere, Eastern_Samoa, group_A, adenine, angstrom_unit, vitamin_A, amp, every_bit, atomic_number_33"
asian,ஆசிய,Āciya,"Asiatic, Asian"
aside,ஒதுக்கி,Otukki,"by, apart, divagation, excursus, aside, away, digression, parenthesis"
ask,கேள்,Kēḷ,"require, postulate, involve, take, ask, enquire, demand, call_for, necessitate, expect, inquire, need"
asleep,தூங்கும்,Tūṅkum,"benumbed, at_peace, numb, deceased, asleep, at_rest, departed, gone"
aspect,அம்சம்,Amcam,"facial_expression, look, panorama, face, facet, scene, expression, view, vista, prospect, aspect"
assault,தாக்குதல்,Tākkutal,"lash_out, assail, violation, set_on, attack, Assault, assault, round, dishonor, violate, rape, outrage, dishonour, snipe, ravish, ravishment"
assert,உறுதியான,Uṟutiyāṉa,"verify, put_forward, assert, maintain, avow, swear, asseverate, aver, insist, affirm, swan"
assess,மதிப்பிடு,Matippiṭu,"tax, butt, shag, valuate, bottom, bum, piece_of_ass, screw, arse, fuck, tush, posterior, stern, fundament, assess, rump, derriere, can, tail_end, ass, piece_of_tail, nookie, screwing, rear, measure, appraise, buttocks, behind, seat, fucking, roll_in_the_hay, shtup, value, tail, fanny, hind_end, prat, buns, backside, nooky, nates, keister, rear_end, evaluate, hindquarters, tooshie"
assessment,மதிப்பீடு,Matippīṭu,"assessment, judgement, appraisal, judgment"
asset,சொத்து,Cottu,"asset, plus"
assign,ஒதுக்க,Otukka,"depute, ascribe, set_apart, assign, delegate, allot, designate, specify, portion, put, impute, attribute, arrogate"
assignment,ஒதுக்கீடு,Otukkīṭu,"designation, assignment, naming, grant, assigning, duty_assignment, appointment"
assist,உதவு,Utavu,"assistance, assist, attend, attend_to, aid, help, wait_on, serve"
assistance,உதவி,Utavi,"assistance, help, aid, assist"
assistant,உதவியாளர்,Utaviyāḷar,"adjunct, supporter, assistant, helper, help"
associate,தொடர்பு,Toṭarpu,"connect, companion, fellow, familiar, link, assort, affiliate, associate_degree, consociate, tie_in, colligate, relate, consort, associate, comrade, link_up"
association,சங்கம்,Caṅkam,"connexion, affiliation, association, tie-up, tie, connection"
assume,கருதி,Karuti,"take, take_on, put_on, take_up, sham, get_into, acquire, seize, adopt, simulate, accept, presume, take_over, assume, don, feign, strike, wear, usurp, bear, take_for_granted, arrogate"
assumption,அனுமானம்,Aṉumāṉam,"effrontery, Assumption_of_Mary, premiss, August_15, supposal, presumptuousness, assumption, Assumption, presumption, premise, laying_claim, supposition"
assure,உறுதி,Uṟuti,"ascertain, guarantee, ensure, see, control, assure, reassure, tell, check, secure, insure, promise, see_to_it"
at,மணிக்கு,Maṇikku,"at, astatine, At, atomic_number_85"
athlete,தடகள,Taṭakaḷa,"jock, athlete"
athletic,தடகள,Taṭakaḷa,"gymnastic, athletic, acrobatic"
atmosphere,வளிமண்டலங்கள்,Vaḷimaṇṭalaṅkaḷ,"air, ambience, atm, atmospheric_state, atmosphere, ambiance, standard_pressure, aura, standard_atmosphere"
attach,இணைக்கவும்,Iṇaikkavum,"bind, impound, seize, bond, confiscate, tie, attach, sequester"
attack,தாக்குதல்,Tākkutal,"assail, round, lash_out, fire, set_on, blast, aggress, flak, flack, plan_of_attack, attack, assault, approach, attempt, onrush, tone-beginning, onslaught, snipe, onset"
attempt,முயற்சி,Muyaṟci,"attempt, try, attack, undertake, seek, set_about, assay, essay, effort, endeavor, endeavour"
attend,கலந்துகொள்ளுங்கள்,Kalantukoḷḷuṅkaḷ,"look, assist, pay_heed, advert, take_care, attend, attend_to, give_ear, go_to, hang, see, wait_on, serve"
attention,கவனம்,Kavaṉam,"aid, attending, attention, tending, care"
attitude,அணுகுமுறை,Aṇukumuṟai,"attitude, mental_attitude, posture, position"
attorney,வழக்கறிஞர்,Vaḻakkaṟiñar,"lawyer, attorney"
attract,ஈர்க்கும்,Īrkkum,"draw, draw_in, attract, pull_in, appeal, pull"
attractive,கவர்ச்சிகரமான,Kavarccikaramāṉa,attractive
attribute,பண்புக்கூறு,Paṇpukkūṟu,"ascribe, assign, dimension, property, impute, attribute"
audience,பார்வையாளர்கள்,Pārvaiyāḷarkaḷ,"consultation, interview, hearing, audience"
author,நூலாசிரியர்,Nūlāciriyar,"writer, generator, author, source"
authority,அதிகாரம்,Atikāram,"say-so, office, authorization, authorisation, self-assurance, bureau, assurance, authority, dominance, federal_agency, sureness, potency, self-confidence, agency, sanction, confidence, government_agency"
auto,வாகன,Vākaṉa,"car, motorcar, auto, machine, automobile"
available,கிடைக்கும்,Kiṭaikkum,"usable, useable, uncommitted, available"
average,சராசரி,Carācari,"fair, middling, norm, ordinary, intermediate, median, mediocre, modal, average_out, average, medium, mean"
avoid,தவிர்க்க,Tavirkka,"forefend, avoid, invalidate, void, nullify, stave_off, fend_off, deflect, keep_off, quash, forfend, avert, ward_off, obviate, head_off, annul, debar"
award,விருது,Virutu,"honor, awarding, prize, laurels, present, award, grant, honour, accolade"
aware,என்றார்,Eṉṟār,"mindful, cognisant, cognizant, aware"
awareness,விழிப்புணர்வு,Viḻippuṇarvu,"cognizance, knowingness, consciousness, cognisance, sentience, awareness"
away,தொலைவில்,Tolaivil,"aside, by, forth, out, off, away, outside"
awful,மோசமாக,Mōcamāka,"amazing, dire, frightfully, dreadful, dreaded, awing, unspeakable, painful, awe-inspiring, fearsome, awfully, awesome, horrific, nasty, fearful, awed, terrible, direful, frightful, awful, atrocious, frightening, tremendous, horrendous, terribly, abominable, dread"
baby,குழந்தை,Kuḻantai,"babe, cocker, cosset, featherbed, child, coddle, pamper, spoil, mollycoddle, infant, baby, sister, indulge"
back,மீண்டும்,Mīṇṭum,"back, endorse, hinder, vertebral_column, second, game, rearward, indorse, bet_on, spinal_column, stake, rearwards, back_up, backbone, binding, rear, punt, dorsum, gage, cover, book_binding, spine, backrest, backwards, rachis, plunk_for, support, plump_for, backward, hind"
background,பின்னணி,Piṉṉaṇi,"background, desktop, setting, scope, backcloth, play_down, ground, downplay, screen_background, background_signal, background_knowledge, backdrop"
bad,மோசமாக,Mōcamāka,"unsound, badness, unfit, forged, spoiled, sorry, uncollectible, regretful, risky, spoilt, high-risk, big, defective, bad, speculative, tough, badly"
badly,மோசமாக,Mōcamāka,"naughtily, mischievously, gravely, bad, disadvantageously, badly, seriously, severely, poorly, ill"
bag,பையில்,Paiyil,"old_bag, pocketbook, bagful, travelling_bag, dish, bulge, handbag, pocket, suitcase, traveling_bag, udder, purse, bag, grip, base, cup_of_tea"
bake,சுட்டுக்கொள்ள,Cuṭṭukkoḷḷa,"broil, bake"
balance,சமநிலை,Camanilai,"symmetry, residue, equilibrate, proportionality, Libra_the_Scales, equipoise, counterpoise, rest, equalizer, correspondence, symmetricalness, balance, residuum, equilibrium, proportion, equilibrise, balance_wheel, Libra_the_Balance, remainder, Libra, counterweight, Balance, poise, equaliser, equilibrize, residual, counterbalance"
ball,பந்து,Pantu,"Ball, formal, clump, nut, orb, Lucille_Ball, bollock, testicle, musket_ball, ball, globe, glob, clod, orchis, egg, lump, ballock, testis, chunk"
ban,தடை,Taṭai,"BAN, prohibition, forbiddance, Bachelor_of_Arts_in_Nursing, ostracise, proscription, shun, censor, banish, banning, forbidding, ban, ostracize, cast_out, blackball"
band,இசைக்குழு,Icaikkuḻu,"lot, stria, dance_band, set, circle, isthmus, dance_orchestra, striation, ring, band, banding, stripe"
bank,வங்கி,Vaṅki,"savings_bank, money_box, bank_building, trust, cant, deposit, banking_company, coin_bank, banking_concern, camber, swear, rely, depository_financial_institution, bank"
bar,மதுக்கூடம்,Matukkūṭam,"prevention, streak, block, taproom, exclude, block_off, Browning_automatic_rifle, ginmill, debar, blockade, BAR, measure, bar, legal_community, relegate, saloon, barricade, block_up, legal_profession, stop, cake, banish, barroom, stripe"
barely,அரிதாகத்தான்,Aritākattāṉ,"scarcely, scarce, scantily, just, hardly, barely"
barrel,பீப்பாய்,Pīppāy,"gun_barrel, barrel, cask, bbl, barrelful, drum"
barrier,தடை,Taṭai,"roadblock, barrier"
base,அடித்தளம்,Aṭittaḷam,"radical, basal, stand, stem, floor, theme, ground, baseborn, meanspirited, radix, base_of_operations, free-base, substructure, fundament, ""al-Qaida"", infrastructure, foundation, root, groundwork, pedestal, establish, nucleotide, lowly, al-Qaeda, Base, found, root_word, basis, understructure, bag, humble, base, foot, cornerstone, Qaeda, immoral, home, alkali, mean, al-Qaida"
baseball,பேஸ்பால்,Pēspāl,"baseball_game, baseball"
basic,basic.,Basic.,"staple, introductory, basic, canonical, canonic, BASIC"
basically,அடிப்படையில்,Aṭippaṭaiyil,"essentially, basically, fundamentally"
basis,அடிப்படையில்,Aṭippaṭaiyil,"fundament, foundation, footing, basis, ground, base, groundwork, cornerstone"
basket,கூடை,Kūṭai,"hoop, field_goal, basket, handbasket, basketball_hoop, basketful"
